surveyYear,JobTitle__,RoleMultichoice
2020,Data Visualization Intern,Developer
2020,Data Visualization Journalist,Journalist
2020,Data visualization Lead,
2020,Data Visualization Lead,"Leadership (Manager, Director, VP, etc.)"
2020,Data Visualization Librarian,None of these describes my role
2020,Data visualization manager,Analyst
2020,data visualization researcher,Academic/Teacher
2020,Data Visualization Specialist,Analyst
2020,Data Visualization Specialist,None of these describes my role
2020,Data Visualization Specialist,Designer
2020,Data Visualization Specialist,Developer
2020,Data Visualization Specialist,Engineer
2020,Data visualization specialist,Developer
2020,Data visualization specialist,Designer
2020,Data Visualization Specialist,Scientist
2020,Data visualization strategy lead,Designer
2020,Data Visualization Visionnaire - Platform Product Lead,Designer
2020,Data visuals editor,Journalist
2020,Data Viz Engineer,
2020,Data viz enthusiast,Analyst
2020,Data Viz Lead,"Leadership (Manager, Director, VP, etc.)"
2020,Data Viz Lead Engineer,Analyst
2020,Data Viz Specialist,Analyst
2020,Database Administrator,Analyst
2020,Datavisualization consultant,Analyst
2020,Dataviz designer,Designer
2020,Dean,"Leadership (Manager, Director, VP, etc.)"
2020,Dean of Institutional Effectiveness,"Leadership (Manager, Director, VP, etc.)"
2020,Decision Scientist,Analyst
2020,Decision Support Analyst,Analyst
2020,Delivery Manager,"Leadership (Manager, Director, VP, etc.)"
2020,Demand + S&OP,Analyst
2020,Department Manager of Federal Program Evaluation,None of these describes my role
2020,Deputy Director of Operations,"Leadership (Manager, Director, VP, etc.)"
2020,Deputy Director of Special Projects,Analyst
2020,Design and Communications Coordinator,Designer
2020,Design Consultant/Freelance Designer,Designer
2020,Design Director,Designer
2020,Design Director,"Leadership (Manager, Director, VP, etc.)"
2020,Design strategist,Designer
2020,Design strategy director,Designer
2020,Design Technologist,Developer
2020,Designer,Designer
2020,Designer,Designer
2020,Designer,Designer
2020,Designer,Designer
2020,Designer,Designer
2020,Designer,Designer
2020,Designer,Designer
2020,Designer,Designer
2020,Designer,Designer
2020,Designer,Designer
2020,Designer,Designer
2020,Designer and data visualiser,Designer
2020,Designer and professor,Designer
2020,designer and professor,Designer
2020,Developer,Developer
2020,Developer,Developer
2020,Developer,Developer
2020,"Developer/designer, news and special projects",Journalist
2020,Development Partner,Analyst
2020,DFatabase Developer,Engineer
2020,Digital Analyst,Analyst
2020,digital analyst,Analyst
2020,Digital Analytics Specialist,Analyst
2020,Digital Analytics Support,Analyst
2020,Digital Analytics Support,Analyst
2020,Digital Designer,
2020,digital insights & analytics manager,Analyst
2020,Digital Performance Analyst,Analyst
2020,Digital Performance Analyst,Analyst
2020,Digital Strategist,Analyst
2020,Digital Strategist,Analyst
2020,Dir,"Leadership (Manager, Director, VP, etc.)"
2020,"Dir. of Planning, Institutional Effectiveness, & Research","Leadership (Manager, Director, VP, etc.)"
2020,Directeur de recherche,Academic/Teacher
2020,Director,Designer
2020,Director,"Leadership (Manager, Director, VP, etc.)"
2020,Director,"Leadership (Manager, Director, VP, etc.)"
2020,Director,Designer
2020,Director,Academic/Teacher
2020,Director,"Leadership (Manager, Director, VP, etc.)"
2020,Director Analytics,"Leadership (Manager, Director, VP, etc.)"
2020,Director of Analytics,"Leadership (Manager, Director, VP, etc.)"
2020,Director of Clinical Research,"Leadership (Manager, Director, VP, etc.)"
2020,Director of Community Impact,"Leadership (Manager, Director, VP, etc.)"
2020,Director of Data Analysis,Analyst
2020,Director of Data Analytics,"Leadership (Manager, Director, VP, etc.)"
2020,Director of Data Analytics,"Leadership (Manager, Director, VP, etc.)"
2020,Director of Data and Analytics,"Leadership (Manager, Director, VP, etc.)"
2020,Director of Data and analytics,"Leadership (Manager, Director, VP, etc.)"
2020,Director of Data and Analytics,"Leadership (Manager, Director, VP, etc.)"
2020,Director of Data Architecture and Visualization,Developer
2020,Director of Data Quality and Analytics,Developer
2020,Director of Data Strategy and Architecture,"Leadership (Manager, Director, VP, etc.)"
2020,Director of Economic Intelligence Unit,"Leadership (Manager, Director, VP, etc.)"
2020,Director of Engineering and Innovation,"Leadership (Manager, Director, VP, etc.)"
2020,Director of Evaluation,"Leadership (Manager, Director, VP, etc.)"
2020,Director of Evaluation and Analytics,Analyst
2020,"Director of Grants, Research, Accountability, & Data","Leadership (Manager, Director, VP, etc.)"
2020,Director of Institutional Research,Analyst
2020,Director of Institutional Research (higher ed),"Leadership (Manager, Director, VP, etc.)"
2020,Director of Interactive Data Visualization,Designer
2020,Director of Population Health,Analyst
2020,Director of Research,"Leadership (Manager, Director, VP, etc.)"
2020,Director of Technology,"Leadership (Manager, Director, VP, etc.)"
2020,Director Operations & Analtyics,"Leadership (Manager, Director, VP, etc.)"
2020,Director Research and Evaluation,"Leadership (Manager, Director, VP, etc.)"
2020,"Director, Analytics",Analyst
2020,"Director, Analytics & Insights",
2020,"Director, Data Activation",Developer
2020,"Director, Data Science & Analytics","Leadership (Manager, Director, VP, etc.)"
2020,"Director, enterprise content and design","Leadership (Manager, Director, VP, etc.)"
2020,"Director, Research","Leadership (Manager, Director, VP, etc.)"
2020,Disaster Risk Analyst,Analyst
2020,Distinguished Design Strategist,Designer
2020,Distribution Strategy,Analyst
2020,"Don't have one, self-employed",Analyst
2020,DSI,Developer
2020,Ecologist,Scientist
2020,Economist,Academic/Teacher
2020,Economist researcher,Analyst
2020,editor,Journalist
2020,Editor,Analyst
2020,Editor in chief Data,Journalist
2020,Editorial developer,Developer
2020,Editorial developer,Developer
2020,Editorial developer,Developer
2020,Editorial developer,Developer
2020,Editorial Director,"Leadership (Manager, Director, VP, etc.)"
2020,Electronic and Data Services Librarian,Analyst
2020,Emergency Preparedness Data Scientist,Scientist
2020,Engagement and Design Adviser,Designer
2020,Engineer III,Analyst
2020,Engineering Manager,"Leadership (Manager, Director, VP, etc.)"
2020,Engineering Manager,"Leadership (Manager, Director, VP, etc.)"
2020,Enrollment Management Business Intelligence Analyst,Analyst
2020,Enrollment Research Data Analyst,Analyst
2020,Enseignant-chercheur,Academic/Teacher
2020,Enterprise Business Intelligence Lead,Designer
2020,Environmental consultant,Scientist
2020,Epidemiologist,Scientist
2020,Epidemiologist,
2020,Epidemiologist,Analyst
2020,Evaluation and Database Manager,Analyst
2020,Evaluation Assistant; and Research Associate,Analyst
2020,Evaluation Consultant,Scientist
2020,Evaluation consultant,
2020,Evaluation Officer,Scientist
2020,Evaluation Specialist,Analyst
2020,Evaluator,Analyst
2020,Evaluator,Analyst
2020,Evaluator,Analyst
2020,Executive Director,"Leadership (Manager, Director, VP, etc.)"
2020,Executive Director,"Leadership (Manager, Director, VP, etc.)"
2020,Executive Director,"Leadership (Manager, Director, VP, etc.)"
2020,Executive Director,"Leadership (Manager, Director, VP, etc.)"
2020,Executive Director of Institutional Effectiveness,"Leadership (Manager, Director, VP, etc.)"
2020,"Executive Director of Research, Assessment, and Accountability","Leadership (Manager, Director, VP, etc.)"
2020,Expertise officer,Designer
2020,External Affairs Analyst,Analyst
2020,Facilities Program Administrator,Engineer
2020,Finance Systems Integration Analyst,Analyst
2020,Financial Controller,"Leadership (Manager, Director, VP, etc.)"
2020,Founder,Analyst
2020,Founder,"Leadership (Manager, Director, VP, etc.)"
2020,Founder,None of these describes my role
2020,Founder / CEO,"Leadership (Manager, Director, VP, etc.)"
2020,Founder and Principal,Teacher
2020,"founder, data scientist","Leadership (Manager, Director, VP, etc.)"
2020,Fraud investigator,Analyst
2020,Freelance,Engineer
2020,Freelance (data)journalist,Journalist
2020,"Freelance Data Consultant, Interim Head of Data","Leadership (Manager, Director, VP, etc.)"
2020,freelance data visualization designer,Developer
2020,Freelance data visualization developer,Designer
2020,freelance dataviz designer,Designer
2020,Freelance Developer,Developer
2020,freelance developer,
2020,Freelance Digital Designer,Designer
2020,Freelance UX Researcher,Student
2020,Freelance writer,
2020,freelancer,Student
2020,Freelancer,Student
2020,Freelancer,Journalist
2020,Front End Developer,Developer
2020,Front end Developer,Developer
2020,Front end developer,Academic/Teacher
2020,Front-end developer,
2020,Frontend Developer,Developer
2020,Frontend engineer,Developer
2020,Frontend Engineer,Engineer
2020,Full-stack editorial developer,Developer
2020,Geographic Information Systems (GIS) Data Analyst,Analyst
2020,Geology Consultant,Scientist
2020,Geospatial Analyst,Analyst
2020,Geospatial Analyst,Cartographer
2020,Geospatial scientist,Cartographer
2020,Geospatial Services Director,"Leadership (Manager, Director, VP, etc.)"
2020,Geospatial Technology Lead,"Leadership (Manager, Director, VP, etc.)"
2020,Gerente de Proyectos,"Leadership (Manager, Director, VP, etc.)"
2020,GIS & Data Visualization Librarian,Academic/Teacher
2020,GIS Analyst,
2020,GIS Analyst,Cartographer
2020,GIS Intern,Analyst
2020,GIS SPECIALIST,Cartographer
2020,GIS Specialist,Analyst
2020,GIS specialist,Analyst
2020,Global Design Director,Designer
2020,Global Market Analyst,Analyst
2020,Global Process Owner,"Leadership (Manager, Director, VP, etc.)"
2020,Global Talent Analytics Senior Program Manager,Analyst
2020,Google News Fellow,Journalist
